ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_DELAY,TAXI_OUT,TAXI_IN,ARR_DELAY,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DelayInv_norm,taxioutInv_norm,taxiinInv_norm,arrdelayInv_norm,CRS_ELAPSED_TIME_Norm,CRS_ELAPSED_TIME_INV_Norm,ACTUAL_ELAPSED_TIME_Norm,ACTUAL_ELAPSED_TIME_INV_Norm,AIR_TIME_Inv_Norm,AIR_TIME_Norm,Dist_Norm,Dist_Inv_Norm,Rand#
12173,14057,-5,15,76,29,335,369,278,2603,1.002264493,0.915730337,0.816425121,0.986751942,0.473163842,0.526836158,0.508264463,0.491735537,0.598845599,0.401154401,0.522376079,0.477623921,0.074562408
14057,13891,-8,16,3,-15,140,133,114,838,1.003623188,0.91011236,0.992753623,1.006852444,0.197740113,0.802259887,0.183195592,0.816804408,0.835497835,0.164502165,0.168171784,0.831828216,0.77267088
13930,14869,-3,9,4,-22,226,207,194,1250,1.001358696,0.949438202,0.990338164,1.010050251,0.31920904,0.68079096,0.285123967,0.714876033,0.72005772,0.27994228,0.2508529,0.7491471,0.09824525
12478,10721,-8,18,6,-12,69,65,41,187,1.003623188,0.898876404,0.985507246,1.005481955,0.097457627,0.902542373,0.08953168,0.91046832,0.940836941,0.059163059,0.037527594,0.962472406,0.235393339
10529,11697,-2,9,2,-11,190,181,170,1173,1.000905797,0.949438202,0.995169082,1.005025126,0.268361582,0.731638418,0.249311295,0.750688705,0.754689755,0.245310245,0.235400361,0.764599639,0.210267967
13204,10423,-3,10,4,-3,170,170,156,994,1.001358696,0.943820225,0.990338164,1.001370489,0.240112994,0.759887006,0.23415978,0.76584022,0.774891775,0.225108225,0.199478226,0.800521774,0.822197362
12339,11259,-2,9,2,-17,140,125,114,755,1.000905797,0.949438202,0.995169082,1.007766103,0.197740113,0.802259887,0.172176309,0.827823691,0.835497835,0.164502165,0.151515152,0.848484848,0.805861708
10397,13422,73,15,3,67,84,78,60,302,0.966938406,0.915730337,0.992753623,0.969392417,0.118644068,0.881355932,0.107438017,0.892561983,0.913419913,0.086580087,0.060606061,0.939393939,0.589386813
11298,14683,0,16,4,-7,72,65,45,247,1,0.91011236,0.990338164,1.003197807,0.101694915,0.898305085,0.08953168,0.91046832,0.935064935,0.064935065,0.049568533,0.950431467,0.526067547
13204,13487,-5,16,19,-2,222,225,190,1310,1.002264493,0.91011236,0.95410628,1.000913659,0.313559322,0.686440678,0.309917355,0.690082645,0.725829726,0.274170274,0.262893839,0.737106161,0.416877572
14771,14747,-7,12,9,-6,123,124,103,679,1.00317029,0.93258427,0.97826087,1.002740978,0.173728814,0.826271186,0.170798898,0.829201102,0.851370851,0.148629149,0.136263295,0.863736705,0.985453442
14107,14057,-2,19,4,-3,175,174,151,1009,1.000905797,0.893258427,0.990338164,1.001370489,0.247175141,0.752824859,0.239669421,0.760330579,0.782106782,0.217893218,0.202488461,0.797511539,0.705188761
13204,10721,-9,23,4,-13,163,159,132,1121,1.004076087,0.870786517,0.990338164,1.005938785,0.230225989,0.769774011,0.219008264,0.780991736,0.80952381,0.19047619,0.224964881,0.775035119,0.987370388
14869,14057,34,14,4,10,128,104,86,630,0.984601449,0.921348315,0.990338164,0.995431704,0.18079096,0.81920904,0.143250689,0.856749311,0.875901876,0.124098124,0.126429862,0.873570138,0.801973697
10721,11433,31,44,9,59,139,167,114,632,0.985960145,0.752808989,0.97826087,0.973047053,0.196327684,0.803672316,0.230027548,0.769972452,0.835497835,0.164502165,0.126831226,0.873168774,0.368310315
11637,11292,351,17,7,335,125,109,85,627,0.841032609,0.904494382,0.983091787,0.846962083,0.176553672,0.823446328,0.150137741,0.849862259,0.877344877,0.122655123,0.125827815,0.874172185,0.795834032
12889,14570,-4,12,11,0,80,84,61,345,1.001811594,0.93258427,0.973429952,1,0.11299435,0.88700565,0.115702479,0.884297521,0.911976912,0.088023088,0.0692354,0.9307646,0.457826232
12889,13487,-4,13,4,-13,186,177,160,1299,1.001811594,0.926966292,0.990338164,1.005938785,0.262711864,0.737288136,0.243801653,0.756198347,0.769119769,0.230880231,0.260686334,0.739313666,0.602533618
12266,11292,-3,25,4,-10,152,145,116,862,1.001358696,0.859550562,0.990338164,1.004568296,0.214689266,0.785310734,0.199724518,0.800275482,0.832611833,0.167388167,0.17298816,0.82701184,0.741535844
12266,10599,-9,23,6,-16,104,97,68,562,1.004076087,0.870786517,0.985507246,1.007309274,0.146892655,0.853107345,0.133608815,0.866391185,0.901875902,0.098124098,0.112783464,0.887216536,0.90742718
11298,14747,9,13,10,25,269,285,262,1660,0.995923913,0.926966292,0.975845411,0.98857926,0.379943503,0.620056497,0.392561983,0.607438017,0.621933622,0.378066378,0.333132651,0.666867349,0.912924696
12173,12892,-4,16,13,22,320,346,317,2556,1.001811594,0.91011236,0.968599034,0.989949749,0.451977401,0.548022599,0.476584022,0.523415978,0.542568543,0.457431457,0.51294401,0.48705599,0.25285978
14771,14107,-8,23,6,-4,119,123,94,651,1.003623188,0.870786517,0.985507246,1.001827318,0.168079096,0.831920904,0.169421488,0.830578512,0.864357864,0.135642136,0.13064419,0.86935581,0.808617687
10397,12264,-10,19,7,-21,110,99,73,534,1.004528986,0.893258427,0.983091787,1.009593422,0.155367232,0.844632768,0.136363636,0.863636364,0.894660895,0.105339105,0.107164359,0.892835641,0.020780284
13871,15016,-3,16,2,-4,70,69,51,342,1.001358696,0.91011236,0.995169082,1.001827318,0.098870056,0.901129944,0.095041322,0.904958678,0.926406926,0.073593074,0.068633353,0.931366647,0.899029748
14771,12892,-3,13,3,-30,95,68,52,337,1.001358696,0.926966292,0.992753623,1.013704888,0.134180791,0.865819209,0.093663912,0.906336088,0.924963925,0.075036075,0.067629942,0.932370058,0.089100974
