Rank,Wine,Vintage,Score,Price,year_inv,s_norm,p_norm_inv,year_norm_inv,s+p,s+y,
14,Clos des Papes Châteauneuf-du-Pape ,2015,98,109,1,0.98,0.339393939,0.000496032,1.319393939,0.980496032,0.050994597
61,Cantina del Pino Barbaresco Ovello ,2013,97,62,3,0.97,0.624242424,0.001488095,1.594242424,0.971488095,
22,Saxum James Berry Vineyard Paso Robles Willow Creek District ,2014,97,98,2,0.97,0.406060606,0.000992063,1.376060606,0.970992063,
44,Domaine St.-Préfert Châteauneuf-du-Pape Auguste Favier Réserve ,2015,97,55,1,0.97,0.666666667,0.000496032,1.636666667,0.970496032,
20,San Felice Brunello di Montalcino Campogiovanni ,2012,96,60,4,0.96,0.636363636,0.001984127,1.596363636,0.961984127,
11,Altesino Brunello di Montalcino Our 40th Harvest ,2012,96,65,4,0.96,0.606060606,0.001984127,1.566060606,0.961984127,
3,Château Coutet Barsac ,2014,96,37,2,0.96,0.775757576,0.000992063,1.735757576,0.960992063,
90,Concha y Toro Cabernet Sauvignon Puente Alto Don Melchor ,2014,96,120,2,0.96,0.272727273,0.000992063,1.232727273,0.960992063,
93,Revana Cabernet Sauvignon Napa Valley ,2014,96,165,2,0.96,0,0.000992063,0.96,0.960992063,
76,Louis Chèze Condrieu Pagus Luminis ,2015,96,69,1,0.96,0.581818182,0.000496032,1.541818182,0.960496032,
4,Casanova di Neri Brunello di Montalcino ,2012,95,65,4,0.95,0.606060606,0.001984127,1.556060606,0.951984127,
23,Mazzei Maremma Toscana Tenuta Belguardo ,2013,95,55,3,0.95,0.666666667,0.001488095,1.616666667,0.951488095,
2,K Syrah Walla Walla Valley Powerline Estate ,2014,95,45,2,0.95,0.727272727,0.000992063,1.677272727,0.950992063,
16,Turley Zinfandel Paso Robles Ueberroth Vineyard ,2014,95,48,2,0.95,0.709090909,0.000992063,1.659090909,0.950992063,
7,Château Canon-La Gaffelière St.-Emilion ,2014,95,61,2,0.95,0.63030303,0.000992063,1.58030303,0.950992063,
