city,support,s_low,s_high,s_width,time
Vancouver,0.9,8.868333333,37.82,28.95166667,4.464999914
Portland,0.9,6.31,38.16,31.85,4.930999994
San Francisco,0.9,1.49,32.58,31.09,4.550000191
Seattle,0.9,6.14,35.54,29.4,3.447999954
Los Angeles,0.9,1.11,41.33233333,40.22233333,4.616999865
San Diego,0.9,0.42,36.85866667,36.43866667,4.91899991
Las Vegas,0.9,13.79,57.84866667,44.05866667,4.766000032
Phoenix,0.9,11.866,51.14033333,39.27433333,4.696000099
Albuquerque,0.9,11.09,56.217,45.127,4.757999897
Denver,0.9,9.61,56.318,46.708,4.765000105
San Antonio,0.9,4.51,42.04,37.53,4.995999813
Dallas,0.9,7.867333333,46.96,39.09266667,4.585999966
Houston,0.9,4.697333333,39.66,34.96266667,4.551000118
Kansas City,0.9,11.686,58.43,46.744,4.503000021
Minneapolis,0.9,17.27,62.27,45,6.194999933
Saint Louis,0.9,10.53,50.988,40.458,4.532999992
Chicago,0.9,11.7,52.49,40.79,4.661000013
Nashville,0.9,21.24,39.64,18.4,3.488999844
Indianapolis,0.9,-2,45.14,47.14,3.218999863
Atlanta,0.9,11.2,40.37,29.17,3.247999907
Detroit,0.9,12.52,50.92,38.4,4.457000017
Jacksonville,0.9,3.61,37.3,33.69,4.467000008
Charlotte,0.9,7.63,39.25,31.62,4.476000071
Miami,0.9,2.76,23.474,20.714,2.968999863
Pittsburgh,0.9,9.73,50.5,40.77,4.453999996
Toronto,0.9,12.392,52.185,39.793,4.430999994
Philadelphia,0.9,11.745,46.54,34.795,4.459000111
New York,0.9,12.858,48.97,36.112,4.51699996
Montreal,0.9,15.23,64.58,49.35,4.565000057
Boston,0.9,12.23,51.11,38.88,4.923000097
Beersheba,0.9,-0.688,34.77,35.458,4.917000055
Tel Aviv District,0.9,6.0995,31.3,25.2005,3.792999983
Eilat,0.9,3.4495,46.53,43.0805,4.787999868
Haifa,0.9,4.8,24.7,19.9,4.570999861
Nahariyya,0.9,5.204,26.285,21.081,4.411999941
Jerusalem,0.9,2.37,32.96,30.59,4.850000143
